ticker,record_date,assets,liabilities,cash,shares,long_term_debt,revenue,net_income,ebit,operating_cash_flow,assets_yoy,net_income_yoy,operating_cash_flow_yoy
SLNH,2025-11-12,152035000.0,78570000.0,4600000.0,68423108.0,13254000.0,47177000.0,-113522000.0,-49786000.0,-9998000.0,0.5617520467595969,-2.0819967923015237,-0.01963657678780774
SLMT,,,,,,,,,,,,,
SRZN,2025-11-05,94046000.0,117561000.0,81335000.0,8571421.0,,24587000.0,-103492000.0,-67923000.0,-66731000.0,0.9593733072211342,-1.0166924700914848,-0.15742100525842057
VLN,2025-09-30,136691000.0,27859000.0,31588000.0,106342415.0,,119503000.0,-19661000.0,-57153000.0,-25057000.0,-0.20476243113208095,0.28937000759027,-2.5728744939271255
BDTX,2025-10-30,157733000.0,31581000.0,30864000.0,56974913.0,,,,46844000.0,71759000.0,0.14385478911643557,,1.770424144937352
ARQ,2025-11-03,277946000.0,60792000.0,7026000.0,42693884.0,26097000.0,185770000.0,-9508000.0,-5019000.0,-574000.0,-0.007211615737681496,1.743448275862069,-0.9946848899012908
KLRS,2025-11-05,81175000.0,39310000.0,42387000.0,18702418.0,,,,-82958000.0,-126439000.0,-0.33750918142495717,,-1.442702238864186
CGEN,2025-06-30,106525000.0,,6467000.0,89541246.0,,49927000.0,,-55523000.0,110446000.0,-0.03305890148592591,,-1.467571720021157
GTE,2025-10-28,1655809000.0,,49089000.0,35295753.0,754253000.0,1033464000.0,,,576514000.0,0.07984397845801883,,-0.2663576445367959
RGP,2025-12-30,289273000.0,94686000.0,89810000.0,33502154.0,,1027253000.0,,-225073000.0,21275000.0,-0.3191541943121827,,4.408724832214765
QNCX,2025-11-06,109899000.0,108840000.0,6452000.0,55681490.0,0.0,,,-87857000.0,-93465000.0,-0.13136366869798213,,-0.2706964520367937
PCSC,2025-09-30,92200869.0,4384557.0,,8911250.0,,,,-2803824.0,-1528420.0,0.03588540622329594,,-1.0148509789888043
UPXI,2025-11-12,419728167.0,,7149806.0,59918609.0,27419950.0,39734057.0,3360650.0,47072693.0,-25699245.0,21.562357429123903,1.8159954030341674,-3.9530338419278515
AIRS,2025-11-06,185920000.0,103815000.0,5405000.0,62436670.0,56913000.0,,-26491000.0,-20320000.0,23697000.0,-0.1072054551129679,-0.5748344370860927,-0.3485006367951835
ARBE,2025-09-30,66082000.0,,4008000.0,105163188.0,,1664000.0,-144293000.0,-95695000.0,-81139000.0,0.1913965312083078,0.06527659120034174,0.5408411253449767
KPTI,2025-10-30,96232000.0,365490000.0,37672000.0,17050876000.0,169293000.0,,9362000.0,-170113000.0,-287692000.0,-0.49211509637104434,2.344952100221076,0.37506392855737836
UNG,2025-11-03,650650435.0,26171321.0,483345718.0,48846103.0,,75264252.0,,,589055495.0,-0.3023515230608212,,3.3959949787768973
FBIO,2025-09-30,181407000.0,116222000.0,86218000.0,82474127.0,47774000.0,110779000.0,21986000.0,-167506000.0,-200110000.0,0.427446197426919,1.2443484042553192,0.2088312228761667
FGNX,2025-11-12,244737000.0,13716000.0,7495000.0,39574350.0,203000.0,63803000.0,-13008000.0,6343000.0,-16507000.0,1.110547693581352,-1.2229839646758076,-0.2676093916755603
UNCY,2025-11-12,50611000.0,13131000.0,42695000.0,21491396.0,,2700000.0,-30222000.0,-51565000.0,-78086000.0,0.3120495670658993,0.6312043683661575,-0.05711172651745585
OPTX,2025-11-11,24575924.0,14766231.0,325098.0,36920226.0,2743341.0,0.0,,-1819052.0,174230.0,-0.10017220390535844,,1.431845948992658
AGEN,2025-11-07,233891000.0,,3458000.0,34008349.0,34209000.0,56226127.0,-6947000.0,-85845000.0,-290350000.0,-0.01925092879127146,1.961167971101746,0.5328119818298204
OVID,2025-11-07,63848000.0,19150000.0,20611000.0,71212353.0,,,-25989000.0,-65365000.0,-109216000.0,-0.3780271591949656,-0.2446458722118546,0.3922259946025942
FATE,2025-11-06,343671000.0,,40622000.0,115352289.0,18480000.0,,,-262934000.0,-297849000.0,-0.3056730710952179,,0.12942413883775966
MGNX,2025-11-07,270763000.0,203762000.0,80129000.0,63258532.0,,238787000.0,-73795000.0,-158247000.0,-333199000.0,0.023709601802701027,-145.8859623900167,-3.1400587332309953
INO,2025-11-07,69385656.0,77105633.0,36567420.0,53571675.0,62757286.0,55181507.0,-338310551.0,-161775525.0,-247894847.0,-0.35189737267460763,-0.2309156449102759,0.17952006099939247
BLNK,2025-11-03,171277000.0,80497000.0,23110000.0,114567268.0,423332.0,181569000.0,-21262545.0,-139197000.0,-119081000.0,-0.4347722780119001,0.6410546167664194,0.09445879988515647
RPTX,2025-10-31,126747000.0,11620000.0,72825000.0,42985755.0,,,-252608000.0,-113452000.0,-193877000.0,-0.38588296856906135,-0.44790756015051886,0.12819364426619978
ANVS,2025-11-12,17188961.0,4032797.0,15286399.0,26502889.0,,,,-46249671.0,-59891489.0,0.1968714993396268,,-0.22656709131386885
BMEA,2025-10-31,55187000.0,39568000.0,46642000.0,70703639.0,,4445000000.0,,-164862000.0,-246869000.0,-0.5002037692788379,,0.37224385359884304
GANX,2025-10-31,10971680.0,5062250.0,8807353.0,36097536.0,424342.0,220720.0,,-33578884.0,-45462808.0,-0.2362566742477062,,0.10196682822075426
PZG,2025-11-11,54812128.0,23266910.0,4165894.0,78358426.0,4221810.0,770241.0,-6235773.0,-15495937.0,-12975121.0,-0.00292242804812025,0.059640842782281246,0.07402004704253871
PYXS,2025-10-31,105604000.0,36825000.0,8919000.0,62264215.0,,24606000.0,,-152000000.0,-173080000.0,-0.459303367449862,,-0.38280965035693815
LAKE,2025-10-31,220717000.0,86233000.0,25222000.0,9570618.0,2900000.0,346152000.0,,-24638000.0,-47972000.0,0.09693210677242524,,-0.4078757803745798
UAVS,2025-11-14,34465282.0,6129041.0,3784659.0,40072588.0,420369.0,30899140.0,-8878163.0,-14517521.0,-19241515.0,0.5639118794936007,0.423178928833278,-0.8081450440012818
AMPG,2025-11-11,47239387.0,11420772.0,8387194.0,20638095.0,1148595.0,52463643.0,,-9997725.0,-16824486.0,0.7149055579017023,,-0.27385683585504894
ACRV,2025-11-07,145299000.0,16696000.0,35405000.0,31555126.0,,,,-150645000.0,-169777000.0,-0.3231959531217976,,-0.002463309114243723
OPAD,2025-10-27,223461000.0,183609000.0,30959000.0,36859946.0,,1067703000.0,,-59901000.0,3318000.0,-0.33982593179078724,,2.314656562399226
IBIO,2025-11-10,64155000.0,8116000.0,28111000.0,22487308.0,,150000.0,-19318000.0,-35383000.0,-37323000.0,1.6167557205204552,-0.42140887440461267,-0.5248990578734859
SOGP,2025-02-28,71437000.0,42077000.0,60534000.0,987114810.0,,1219591000.0,-34797000.0,-45162000.0,-6696000.0,-0.10479949874686717,0.4656090588037446,0.7801297992357615
BDSX,2025-10-28,88722000.0,90444000.0,16604000.0,7955685.0,50010000.0,139506000.0,,-61531000.0,-96470000.0,-0.13646671792725537,,0.46021592260902744
OSG,2025-11-07,2147890000.0,1000469000.0,27520000.0,43812035.0,518000000.0,423595000.0,-536119000.0,,1702000.0,-0.7679461970613656,-3.094826018979748,-1.6756682461973453
